"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"276","Sweets and Sour Marge","Marge rallies for a ban on sugar after Springfield is declared America's fattest city.","2002-01-20","Mark Kirkland","Carolyn Omine","13","8","277","12.27","",""
"277","Jaws Wired Shut","Marge can't deal with the quiet after Homer has his jaws wired shut.","2002-01-27","Nancy Kruse","Matt Selman","13","9","278","14.24","",""
"278","Half-Decent Proposal","Marge's high school sweetheart Artie Ziff returns and offers Homer a million dollars to spend a weekend with Marge.","2002-02-10","Lauren MacMullan","Tim Long","13","10","279","13.23","",""
"279","The Bart Wants What It Wants","Bart breaks up with his new girlfriend Greta, but gets jealous when she begins dating Milhouse.","2002-02-17","Mike Frank Polcino","John Frink & Don Payne","13","11","280","11.17","",""
"280","The Lastest Gun in the West","Bart meets a retired cowboy movie star and convinces him to make a comeback on The Krusty the Clown Show.","2002-02-24","Bob Anderson","John Swartzwelder","13","12","281","13.17","",""
"281","The Old Man and the Key","Abe gets his driver's license back to impress a new woman at the retirement home.","2002-03-10","Lance Kramer","Jon Vitti","13","13","282","14.46","",""
"282","Tales from the Public Domain","Homer reads three stories from an overdue library book, imagining himself as Odysseus, Lisa as Joan of Arc and Bart as Hamlet.","2002-03-17","Mike B. Anderson","Andrew Kreisberg","13","14","283","11.69","",""
"283","Blame It on Lisa","Lisa sponsors an orphan in Brazil, and when he goes missing she convinces the family to go to Brazil to find him. While there, Homer is kidnapped.","2002-03-31","Steven Dean Moore","Bob Bendetson","13","15","284","11.12","",""
"284","Weekend at Burnsie's","After a traumatizing eye injury, Homer becomes a habitual user of medical marijuana.","2002-04-07","Michael Marcantel","Jon Vitti","13","16","285","12.49","",""
"285","Gump Roast","In this clip show, the citizens of Springfield honor Homer Simpsons with a Roast, but the festivities take a turn for the worst when aliens crash it.","2002-04-21","Mark Kirkland","Deb Lacusta & Dan Castellaneta","13","17","286","12.26","",""
"286","I Am Furious (Yellow)","Bart's comic about Homer becomes a hit on-line, prompting Homer to attempt to control his anger.","2002-04-28","Chuck Sheetz","John Swartzwelder","13","18","287","13.38","",""
"287","The Sweetest Apu","Apu's marriage is on the rocks after Manjula finds out he cheated on her.","2002-05-05","Matthew Nastuk","John Swartzwelder","13","19","288","11.83","",""
"288","Little Girl in the Big Ten","Lisa pretends to be a college student when she befriends two college girls","2002-05-12","Lauren MacMullan","Jon Vitti","13","20","289","11.23","",""
"289","The Frying Game","Homer and Marge find themselves on death row after they are framed for murder.","2002-05-19","Mike Frank Polcino","John Swartzwelder","13","21","290","10.79","",""
"290","Poppa's Got a Brand New Badge","Homer becomes chief of police after a scandal forces Wiggum out.","2002-05-22","Pete Michels","Dana Gould","13","22","291","8.18","",""
"291","Treehouse of Horror XIII","Homer clones himself with a magic hammock","2002-11-03","David Silverman","Marc Wilmore","14","1","292","16.7","",""
"292","How I Spent My Strummer Vacation","When Homer is secretly videotaped complaining about his family in a taxi, they send him off to a rock and roll fantasy camp so he can try to live his dream.","2002-11-10","Mike B. Anderson","Mike Scully","14","2","293","12.5","",""
"293","Bart vs. Lisa vs. the Third Grade","Bart and Lisa are respectively held back and moved forward one grade, putting them in the same class.","2002-11-17","Steven Dean Moore","Tim Long","14","3","294","13.3","",""
"294","Large Marge","Marge accidentally gets breast implants.","2002-11-24","Jim Reardon","Ian Maxtone-Graham","14","4","295","17.4","",""
"295","Helter Shelter","The Simpsons family must participate in a reality television show in which they try to live in the same way that the families did in the 1800s.","2002-12-01","Mark Kirkland","Brian Pollack & Mert Rich","14","5","296","15.1","",""
"296","The Great Louse Detective","Homer has to use Sideshow Bob in order to track down a potential assassin.","2002-12-15","Steven Dean Moore","John Frink & Don Payne","14","6","297","15.5","",""
"297","Special Edna","After Skinner once again has let Mrs. Krabappel down, Bart nominates her for Teacher of the Year. When the nomination is accepted, Skinner tries to get back Krabappel by asking her to marry him.","2003-01-05","Bob Anderson","Dennis Snee","14","7","298","15.0","",""
"298","The Dad Who Knew Too Little","Homer hires a private detective to learn more about Lisa.","2003-01-12","Mark Kirkland","Matt Selman","14","8","299","12.8","",""
"299","The Strong Arms of the Ma","Marge takes up body-building to boost her self-esteem after being mugged at the Kwik-E-Mart.","2003-02-02","Pete Michels","Carolyn Omine","14","9","300","15.4","",""
"300","Pray Anything","Homer turns to religion to help him get what he wants, and is soon awarded the church in an injury settlement. Homer then turns the church into his personal party pad, and Reverend Lovejoy leaves Springfield to wallow in its hedonism.","2003-02-09","Mike Frank Polcino","Sam O'Neal & Neal Boushell","14","10","301","13.4","",""
"301","Barting Over","After finding out Homer squandered his money from a baby commercial, Bart moves out into a loft, and meets skateboarding legend Tony Hawk.","2003-02-16","Matthew Nastuk","Andrew Kreisberg","14","11","302","21.3","",""
"302","I'm Spelling as Fast as I Can","Lisa participates in the Spellympics, but Homer is busy traveling cross-country as Krusty Burger test-markets a new sandwich. Lisa is confident that she will win, until she learns that the contest is rigged against her.","2003-02-16","Nancy Kruse","Kevin Curran","14","12","303","22.1","",""
"303","A Star Is Born Again","Ned Flanders starts dating a famous movie star, but has difficulties with the tabloids following them everywhere.","2003-03-02","Michael Marcantel","Brian Kelley","14","13","304","14.4","",""
"304","Mr. Spritz Goes to Washington","The family makes Krusty run for Congress because of air traffic being redirected to fly dangerously close to their house.","2003-03-09","Lance Kramer","John Swartzwelder","14","14","305","14.4","",""
"305","C.E.D'oh","Homer takes over the power plant after tricking Mr. Burns into making him the official owner of the power plant.","2003-03-16","Mike B. Anderson","Dana Gould","14","15","306","13.0","",""
"306","'Scuse Me While I Miss the Sky","Lisa becomes interested in astronomy and starts fighting the light pollution which is preventing her from being able to enjoy her new hobby.","2003-03-30","Steven Dean Moore","Dan Greaney & Allen Glazier","14","16","307","12.6","",""
"307","Three Gays of the Condo","When Homer finds an old note revealing Marge only married him because she was pregnant with Bart, he moves into a condo with two gay guys.","2003-04-13","Mark Kirkland","Matt Warburton","14","17","308","12.02","",""
"308","Dude, Where's My Ranch?","Homer writes a Christmas carol called ""Everybody Hates Ned Flanders,"" which soon becomes so popular that the family decides to leave town for a while.","2003-04-27","Chris Clements","Ian Maxtone-Graham","14","18","309","11.71","",""
"309","Old Yeller-Belly","Homer throws out Santa's Little Helper for not saving him from a fire, but soon the dog becomes Duff's new mascot.","2003-05-04","Bob Anderson","John Frink & Don Payne","14","19","310","11.59","",""
"310","Brake My Wife, Please","Because of Homer losing his driver's license, Marge has to drive everyone everywhere, which is so stressful for her that she accidentally runs over Homer leading to the two seeing a marriage counselor.","2003-05-11","Pete Michels","Tim Long","14","20","311","10.56","",""
"311","The Bart of War","Bart and Milhouse are forced into community service after destroying Flanders' memorial and join separate community groups, pitting themselves against each other.","2003-05-18","Mike Frank Polcino","Marc Wilmore","14","21","312","12.10","",""
"312","Moe Baby Blues","After saving Maggie's life, Moe develops a special bond with her, much to Homer's dismay.","2003-05-18","Lauren MacMullan","J. Stewart Burns","14","22","313","13.44","",""
"313","Treehouse of Horror XIV","First, Homer kills the Grim Reaper and takes his place in Reaper Madness. Then, Professor Frink's father is revived, only to kill people and steal their organs in Frinkenstein. Finally, Bart and Milhouse get a stop watch that can stop time in Stop the World, I Want To Goof Off.","2003-11-02","Steven Dean Moore","John Swartzwelder","15","1","314","16.22","",""
"314","My Mother the Carjacker","Homer's mother returns to Springfield, and the city pardons her from the charges against her. Mr Burns is furious about this and makes a plan to get Mona Simpson in prison.","2003-11-09","Nancy Kruse","Michael Price","15","2","315","12.4","",""
"315","The President Wore Pearls","Lisa feuds with Principal Skinner after being elected school president.","2003-11-16","Mike B. Anderson","Dana Gould","15","3","316","12.7","",""
"316","The Regina Monologues","Prime minister Tony Blair welcomes the Simpsons to England where they run into author J.K. Rowling and actor Ian McKellen.","2003-11-23","Mark Kirkland","John Swartzwelder","15","4","317","12.2","",""
"317","The Fat and the Furriest","At the dump Homer is videotaped while being attacked by a bear. The town regards him a coward, so Homer decides to strike back at the bear.","2003-11-30","Matthew Nastuk","Joel H. Cohen","15","5","318","11.7","",""
"318","Today I Am a Clown","Krusty decides to do what he never did when he was thirteen years old - have a Bar Mitzvah.","2003-12-07","Nancy Kruse","Joel H. Cohen","15","6","319","10.5","",""
"319","'Tis the Fifteenth Season","After spending all his money on an expensive gift for himself, and the family thinking he should be less of an egoist, Homer decides to change his ways.","2003-12-14","Steven Dean Moore","Michael Price","15","7","320","11.3","",""
"320","Marge vs. Singles, Seniors, Childless Couples and Teens, and Gays","A concert for babies ends in a riot, so the childless adults of Springfield gather to make the town less child-friendly.","2004-01-04","Bob Anderson","Jon Vitti","15","8","321","12.0","",""
"321","I, (Annoyed Grunt)-bot","Homer pretends to be a robot and competes in Robot Wars to win Bart's affection","2004-01-11","Lauren MacMullan","Dan Greaney & Allen Glazier","15","9","322","16.3","",""
"322","Diatribe of a Mad Housewife","Marge is inspired to write a novel, but the storyline of the book (a fat, mean husband, and a handsome, sweet neighbor) makes Homer jealous.","2004-01-25","Mark Kirkland","Robin J. Stein","15","10","323","10.6","",""
"323","Margical History Tour","Marge tells Lisa, Bart and Millhouse three history stories because the library doesn't have any.","2004-02-08","Mike B. Anderson","Brian Kelley","15","11","324","8.9","",""
"324","Milhouse Doesn't Live Here Anymore","Milhouse moves to Capitol City, and therefore Lisa and Bart become best friends.","2004-02-15","Matthew Nastuk","Julie Chambers & David Chambers","15","12","325","9.4","",""
"325","Smart & Smarter","When Maggie is revealed to have an IQ of 167, Lisa is no longer the genius of the family, causing a rivalry between the sisters.","2004-02-22","Steven Dean Moore","Carolyn Omine","15","13","326","12.6","",""
"326","The Ziff Who Came to Dinner","Artie Ziff is discovered hiding out in the Simpsons' attic.","2004-03-14","Nancy Kruse","Deb Lacusta & Dan Castellaneta","15","14","327","10.7","",""
"327","Co-Dependents' Day","Marge takes up heavy drinking to spend more time with Homer. Bart and Lisa confront a famous movie director about the drop in quality his films have taken.","2004-03-21","Bob Anderson","Matt Warburton","15","15","328","11.2","",""
"328","The Wandering Juvie","After playing a prank on the whole town, Bart is sentenced to six months of juvenile detention. There he meets Gina, who forces Bart to escape with her.","2004-03-28","Lauren MacMullan","John Frink & Don Payne","15","16","329","10.5","",""
"329","My Big Fat Geek Wedding","Mrs. Krabapel falls for Comic Book Guy and they plan a Star Trek like wedding. Principal Skinner plans to prevent it.","2004-04-18","Mark Kirkland","Kevin Curran","15","17","330","9.2","",""
"330","Catch 'Em If You Can","Homer and Marge try to have a vacation without the kids but Bart and Lisa follow them everywhere they go.","2004-04-25","Matthew Nastuk","Ian Maxtone-Graham","15","18","331","9.3","",""
"331","Simple Simpson","Homer becomes a costumed vigilante who uses pies for weapons after witnessing Lisa get humiliated at a competition at the state fair.","2004-05-02","Jim Reardon","Jon Vitti","15","19","332","9.5","",""
"332","The Way We Weren't","Marge and Homer find out that they actually kissed each other at age 10 without knowing they were each other's first kisses, and tell the story about this.","2004-05-09","Mike B. Anderson","J. Stewart Burns","15","20","333","6.6","",""
"333","Bart-Mangled Banner","An accidental photo showing Bart mooning the American flag makes the Simpsons the most hated family in town.","2004-05-16","Steven Dean Moore","John Frink","15","21","334","8.7","",""
"334","Fraudcast News","After Mr. Burns is erroneously reported as dead, he buys all of he media outlets in order to prevent them from writing scathing articles about him.","2004-05-23","Bob Anderson","Don Payne","15","22","335","9.2","",""
"335","Treehouse of Horror XV","Ned gains the power to foresee people's deaths","2004-11-07","David Silverman","Bill Odenkirk","16","1","336","11.29","",""
"336","All's Fair in Oven War","Homer buys Marge a new kitchen, and Marge likes cooking in the new kitchen so much she attends the Ovenfresh Bakeoff.","2004-11-14","Mark Kirkland","Matt Selman","16","2","337","11.64","",""
"337","Sleeping with the Enemy","Because she thinks her own children do not appreciate her anymore, Marge becomes a mother figure for Nelson.","2004-11-21","Lauren MacMullan","Jon Vitti","16","3","338","9.95","",""
"338","She Used to Be My Girl","Marge becomes jealous when Lisa begins idolizing her old high school friend, Chloe Talbot, a famous reporter.","2004-12-05","Matthew Nastuk","Tim Long","16","4","339","10.81","",""
"339","Fat Man and Little Boy","Bart begins designing T-shirt slogans, and his T-shirts become very popular among the citizens of Springfield.","2004-12-12","Mike B. Anderson","Joel H. Cohen","16","5","340","10.31","",""
"340","Midnight Rx","Homer goes to Canada with Apu and Ned to purchase Grampa's medication, but the three have problems getting home because the border guard thinks Apu is a terrorist.","2005-01-16","Nancy Kruse","Marc Wilmore","16","6","341","8.11","",""
"341","Mommie Beerest","Homer gives Moe an enormous amount of money so he doesn't have to close down.","2005-01-30","Mark Kirkland","Michael Price","16","7","342","9.97","",""
"342","Homer and Ned's Hail Mary Pass","A video of Homer dancing becomes so popular that all major sports players hires Homer to design celebration dances for them.","2005-02-06","Steven Dean Moore","Tim Long","16","8","343","23.07","",""
"343","Pranksta Rap","Bart went to a rap concert Marge told him not to go to. In order to avoid punishment from Marge, he makes Marge and Homer believe he has been kidnapped.","2005-02-13","Mike B. Anderson","Matt Selman","16","9","344","8.01","",""
"344","There's Something About Marrying","A townsperson comes out of the closet when Springfield legalized same-sex marriages in a plot to bolster tourism","2005-02-20","Nancy Kruse","J. Stewart Burns","16","10","345","10.39","",""
"345","On a Clear Day I Can't See My Sister","After bullying her, Bart is restricted by court order to come too close to Lisa.","2005-03-06","Bob Anderson","Jeff Westbrook","16","11","346","10.39","",""
"346","Goo Goo Gai Pan","Selma decides to adopt a child, so the whole family goes to China.","2005-03-13","Lance Kramer","Dana Gould","16","12","347","10.28","",""
"347","Mobile Homer","After a garage-cleaning accident, Marge wants Homer to get life insurance. Instead, the family gets an RV.","2005-03-20","Raymond S. Persi","Tim Long","16","13","348","8.49","",""
"348","The Seven-Beer Snitch","Springfield builds an opera house, but since no-one attends it they convert it into a prison. Old and forgotten laws are used to fill the prison, and therefore Homer goes to jail for kicking a can five times in a row. In jail, Homer becomes a snitch","2005-04-03","Matthew Nastuk","Bill Odenkirk","16","14","349","7.48","",""
"349","Future-Drama","Bart and Lisa see into the future where their lives have changed.","2005-04-17","Mike B. Anderson","Matt Selman","16","15","350","8.31","",""
"350","Don't Fear the Roofer","Homer meets a new friend, Ray the Roofer, but gets confined to a mental institution when his friends and family think he made him up.","2005-05-01","Mark Kirkland","Kevin Curran","16","16","351","11.92","",""
"351","The Heartbroke Kid","Bart starts living on food from the new candy machine in school only, but he becomes so overweight that he has to go to a fat camp.","2005-05-01","Steven Dean Moore","Ian Maxtone-Graham","16","17","352","10.79","",""
"352","A Star Is Torn","Lisa attends a singing competition for children, and Homer becomes her manager because of his skill to write songs that the crowd loves.","2005-05-08","Nancy Kruse","Carolyn Omine","16","18","353","8.72","",""
"353","Thank God, It's Doomsday","Homer hears about the Rapture, and by using numerology to calculate when the Rapture is coming he learns that it is only one week away.","2005-05-08","Michael Marcantel","Don Payne","16","19","354","10.05","",""
"354","Home Away from Homer","After Homer humiliates Ned Flanders, Ned, Rod, and Todd decides to leave Springfield and live in Humbleton, Pennsylvania.","2005-05-15","Bob Anderson","Joel H. Cohen","16","20","355","8.17","",""
"355","The Father, the Son, and the Holy Guest Star","Bart is expelled from Springfield Elementary, and Bart is therefore enrolled in St. Jerome's Catholic School.","2005-05-15","Mike Frank Polcino","Matt Warburton","16","21","356","9.69","",""
"356","The Bonfire of the Manatees","When Marge leaves Homer because he allowed an adult movie being shot in their house, she seeks self fulfillment in protecting manatees.","2005-09-11","Mark Kirkland","Dan Greaney","17","1","357","11.10","",""
"357","The Girl Who Slept Too Little","A new cemetery right outside the window of Lisa's room makes Lisa suffer from many sleepless nights.","2005-09-18","Raymond S. Persi","John Frink","17","2","358","9.79","",""
"358","Milhouse of Sand and Fog","When Kirk and Luann van Houten plan to get back together, Milhouse realizes they are too interested in each other, so he and Bart try to break them up, only for the plan to backfire and cause Homer and Marge to break up yet again.","2005-09-25","Steven Dean Moore","Patric M. Verrone","17","3","359","10.19","",""
"359","Treehouse of Horror XVI","An android son replaces Bart","2005-11-06","David Silverman","Marc Wilmore","17","4","360","11.63","",""
"360","Marge's Son Poisoning","Marge and Bart start spending more time together, and make a tradition of cycling to a tea house in a small village outside Springfield.","2005-11-13","Mike B. Anderson","Daniel Chun","17","5","361","11.4","",""
"361","See Homer Run","When a recall election puts Mayor Quimby's job up for grabs, Homer seizes the opportunity to win office and gain his daughter's love.","2005-11-20","Nancy Kruse","Stephanie Gillis","17","6","362","10.3","",""
"362","The Last of the Red Hat Mamas","Milhouse tutors Lisa in Italian, and Marge joins the Cheery Red Tomatoes, a group that plans to rob Mr. Burns of one million dollars worth of Fabergé eggs.","2005-11-27","Matthew Nastuk","Joel H. Cohen","17","7","363","11.46","",""
"363","The Italian Bob","The Simpsons become lost in Italy, finding their way to a small town that Sideshow Bob has become the mayor of.","2005-12-11","Mark Kirkland","John Frink","17","8","364","10.39","",""
"364","Simpsons Christmas Stories","Homer tells the tale of the first Christmas ever, while Grandpa pursues his decade-old feud with Santa.","2005-12-18","Steven Dean Moore","Don Payne","17","9","365","9.8","",""
"365","Homer's Paternity Coot","When a frozen mailman from the 60's is found in a Springfield glacier, doubts arise about whether Abe really is Homer's father.","2006-01-08","Mike B. Anderson","Joel H. Cohen","17","10","366","10.1","",""
"366","We're on the Road to D'ohwhere","When Homer is on his way to Vegas to meet up with his friends, he has to make a detour to take Bart to an education camp. Meanwhile, Marge has discovered a surprising source of income.","2006-01-29","Nancy Kruse","Kevin Curran","17","11","367","9.04","",""
"367","My Fair Laddy","Bart and Lisa bet whether Lisa can turn Groundskeeper Willie into a proper gentleman.","2006-02-26","Bob Anderson","Michael Price","17","12","368","9.51","",""
"368","The Seemingly Never-Ending Story","In this story within a story within a story within a story, a cave-exploring expedition, an angry sheep and a lovestruck Moe become inextricably entwined.","2006-03-12","Raymond S. Persi","Ian Maxtone-Graham","17","13","369","9.72","",""
"369","Bart Has Two Mommies","Marge starts babysitting the Flanders boys, leading Homer to spend more time with Bart and Lisa. Bart gets kidnapped by a lonely movie chimpanzee.","2006-03-19","Michael Marcantel","Dana Gould","17","14","370","8.75","",""
"370","Homer Simpson, This Is Your Wife","As part of a new Fox show, the Simpsons participate in a wife-swap.","2006-03-26","Matthew Nastuk","Ricky Gervais","17","15","371","10.09","",""
"371","Million Dollar Abie","After blowing Springfield's chances for an NFL franchise, Grandpa goes to an assisted-suicide center, then becomes a bullfighter.","2006-04-02","Steven Dean Moore","Tim Long","17","16","372","7.83","",""
"372","Kiss Kiss, Bang Bangalore","Homer gets sent to India when the power plant is relocated there. Selma and Patty kidnap Richard Dean Anderson after he spurns their MacGyver fan club.","2006-04-09","Mark Kirkland","Deb Lacusta & Dan Castellaneta","17","17","373","8.20","",""
"373","The Wettest Stories Ever Told","While waiting for the dinner at the Frying Dutchman, the family starts telling three stories about ships: ""Journey on the Mayflower","Mutiny on the Bounty","and ""The Neptune Adventure"". ""","2006-04-23","Mike B. Anderson","Jeff Westbrook","17","18","",""
"374","Girls Just Want to Have Sums","Springfield Elementary is divided into two separate schools (one for boys, one for girls) following Principal Skinner's demotion. Concerned that the boys are receiving a higher standard of education, Lisa disguises herself as a boy.","2006-04-30","Nancy Kruse","Matt Selman","17","19","375","8.7","",""
"375","Regarding Margie","After hitting her head on a stool Marge suffers from amnesia. Slowly but surely memories are starting to come back, except memories about Homer.","2006-05-07","Mike Frank Polcino","Marc Wilmore","17","20","376","8.50","",""
"376","The Monkey Suit","After seeing a museum exhibit on evolution, in which creation is labeled a myth, an outraged Ned Flanders teams with Reverend Lovejoy to blackmail Principal Skinner into requiring creationism to be taught in classrooms, eventually at the expense of any mention of evolution. Lisa becomes outraged herself, and forms a student organization to teach evolution, leading to a creationism vs. evolution trial, a la Inherit the Wind.","2006-05-14","Raymond S. Persi","J. Stewart Burns","17","21","377","8.3","",""
"377","Marge and Homer Turn a Couple Play","Marge and Homer try their luck at celebrity marriage counselling.","2006-05-21","Bob Anderson","Joel H. Cohen","17","22","378","8.23","",""
"378","The Mook, the Chef, the Wife and Her Homer","When Fat Tony has to take a time-out due to a whacking attempt, Homer and Bart take over the business.","2006-09-10","Michael Marcantel","Bill Odenkirk","18","1","379","11.50","",""
"379","Jazzy and the Pussycats","Lisa becomes depressed when Bart becomes a better jazz musician than her. So she decides to set up an animal shelter in the Simpsons' attic.","2006-09-17","Steven Dean Moore","Daniel Chun","18","2","380","8.94","",""
"380","Please Homer, Don't Hammer 'Em","Marge begins her own carpentry business, but Homer becomes the face of the business because nobody will take a female carpenter seriously. And Bart uses Principal Skinner's peanut allergy to his advantage.","2006-09-24","Mike B. Anderson & Ralph Sosa","Matt Warburton","18","3","381","9.72","",""
"381","Treehouse of Horror XVII","A meteorite turns Homer into a rampaging blob with a voracious appetite","2006-11-05","David Silverman & Matthew Faughnan","Peter Gaffney","18","4","382","10.43","",""
"382","G.I. (Annoyed Grunt)","Homer is duped into signing up for the Army, and his hijinks after basic training ultimately results in a military occupation of Springfield.","2006-11-12","Nancy Kruse","Daniel Chun","18","5","383","11.43","",""
"383","Moe'N'a Lisa","Lisa helps Moe become a distinguished poet, but she turns on him when he takes all the credit for his newfound greatness.","2006-11-19","Mark Kirkland","Matt Warburton","18","6","384","9.31","",""
"384","Ice Cream of Margie (with the Light Blue Hair)","Homer becomes an ice cream man after being fired from the plant, and Marge uses his leftover Popsicle sticks to create folk art figures.","2006-11-26","Matthew Nastuk","Carolyn Omine","18","7","385","10.90","",""
"385","The Haw-Hawed Couple","Bart and Nelson become best friends, but Bart surprisingly discovers that the fringe benefits aren't worth Nelson's neediness.","2006-12-10","Chris Clements","Matt Selman","18","8","386","8.29","",""
"386","Kill Gil, Volumes I & II","The Simpsons let Gil stay with them during Christmas. However, he stays for 11 months because Marge can't tell him ""no.""","2006-12-17","Bob Anderson","Jeff Westbrook","18","9","387","8.96","",""
"387","The Wife Aquatic","Homer returns Marge to Barnacle Bay, where she spent her beloved summer vacations. But when they get there, they discover that it is no longer a tourist spot.","2007-01-07","Lance Kramer","Kevin Curran","18","10","388","13.90","",""
"388","Revenge Is a Dish Best Served Three Times","While Homer tries to get revenge on a driver who cut him off, his family warns him of the folly of revenge by telling stories based on ""The Count of Monte Cristo,"" ""Revenge of the Nerds,"" and ""Batman.""","2007-01-28","Mike Frank Polcino","Joel H. Cohen","18","11","389","8.09","",""
"389","Little Big Girl","Lisa embellishes her family heritage as Native American for a school project","2007-02-11","Raymond S. Persi","Don Payne","18","12","390","8.27","",""
"390","Springfield Up","A parody of the ""Up Series"" of British documentaries, in which a filmmaker follows Homer and his friends from grade school into their 40s.","2007-02-18","Chuck Sheetz","Matt Warburton","18","13","391","8.80","",""
"391","Yokel Chords","In this parody of The Sound of Music (1965), Lisa becomes a tutor for Cletus' seven children, until Krusty tries to exploit them as entertainers. Meanwhile, Bart becomes emotionally attached to his school-appointed psychiatrist.","2007-03-04","Susie Dietter","Michael Price","18","14","392","9.09","",""
"392","Rome-Old and Juli-Eh","Selma and Grampa fall in love and end up getting married, a marriage both Homer and Patty are against.","2007-03-11","Nancy Kruse","Daniel Chun","18","15","393","8.98","",""
"393","Homerazzi","Homer becomes a successful Paparazzi, but Springfield's celebrities decide to get their revenge on him.","2007-03-25","Matthew Nastuk","J. Stewart Burns","18","16","394","6.91","",""
"394","Marge Gamer","Marge decides to find out what their Internet has to offer and soon gets hooked on an online role-playing game","2007-04-22","Bob Anderson","J. Stewart Burns","18","17","395","6.40","",""
"395","The Boys of Bummer","Bart becomes the most hated person in Springfield after he is the goat in a championship baseball game, and Homer's new job as a mattress salesman ruins his and Marge's sex life.","2007-04-29","Rob Oliver","Michael Price","18","18","396","7.57","",""
"396","Crook and Ladder","Homer, Moe, Apu and Principal Skinner become volunteer firefighters. But just because they're not getting paid doesn't mean that they can't find a way to receive compensation.","2007-05-06","Lance Kramer","Bill Odenkirk","18","19","397","7.72","",""
"397","Stop Or My Dog Will Shoot!","Homer unwittingly drags the family into a cornfield maze after attempting to leave a boring Harvest fest that Marge brought them to. When everyone except Homer escapes, Santa's Little Helper rescues him and becomes the town hero. So the Simpsons enroll him in Police Dog Academy where he's teamed with Lou.","2007-05-13","Matthew Faughnan","John Frink","18","20","398","6.48","",""
"398","24 Minutes","Bart and Lisa join forces to stop the school bullies from setting off a stink bomb at the school bake sale.","2007-05-20","Raymond S. Persi","Billy Kimball & Ian Maxtone-Graham","18","21","399","9.80","",""
"399","You Kent Always Say What You Want","After Kent Brockman is fired as a news anchor, he and Lisa use the Internet to expose the Fox News Conspiracy.","2007-05-20","Matthew Nastuk","Tim Long","18","22","400","9.80","",""
"400","He Loves to Fly and He D'ohs","Homer falls in love with private planes after taking a flight to Chicago with Mr. Burns. So Marge hires Homer a ""life manager"" to help him think positively and find a job that will allow him to fly for a living.","2007-09-23","Mark Kirkland","Joel H. Cohen","19","1","401","9.7","",""
"401","The Homer of Seville","Homer becomes an opera star after an injury improves his singing voice. His newfound popularity forces him to hire a personal assistant, who turns out to be an obsessed stalker.","2007-09-30","Mike Frank Polcino","Carolyn Omine","19","2","402","8.4","",""
"402","Midnight Towboy","Homer becomes the most hated man in town after he becomes a tow truck driver, and Marge teaches Maggie to not be an over-dependent baby.","2007-10-07","Matthew Nastuk","Stephanie Gillis","19","3","403","7.7","",""
"403","I Don't Wanna Know Why the Caged Bird Sings","Marge promises to visit a convicted bank robber in prison, but is afraid to follow through. But when the convict escapes from prison, Marge is the first person he pays a visit to.","2007-10-14","Bob Anderson","Dana Gould","19","4","404","8.8","",""
"404","Treehouse of Horror XVIII","The eighteenth Simpsons Halloween Special features parodies of the movies ""E.T."" and ""Mr. and Mrs. Smith.""","2007-11-04","Chuck Sheetz","Marc Wilmore","19","5","405","11.7","",""
"405","Little Orphan Millie","Milhouse's parents are lost at sea, which causes him to become a troubled loner. But his new persona makes him the new most popular kid at school, which sparks jealousy in Bart.","2007-11-11","Lance Kramer","Mick Kelly","19","6","406","10.57","",""
"406","Husbands and Knives","When Marge becomes a successful businesswoman, Homer becomes worried that she will dump him for a trophy husband. Therefore, he decides to have plastic surgery to make himself look like a hunk.","2007-11-18","Nancy Kruse","Matt Selman","19","7","407","10.5","",""
"407","Funeral for a Fiend","Bart is responsible for Sideshow Bob's death after his latest attempt at revenge is foiled, but is his death actually part of the plan?","2007-11-25","Rob Oliver","Michael Price","19","8","408","9.0","",""
"408","Eternal Moonshine of the Simpson Mind","Homer goes to Dr. Frink to help him recover his memories from the night before, and he discovers, based on his interpretation of the memories, that Marge is having an affair.","2007-12-16","Chuck Sheetz","J. Stewart Burns","19","9","409","10.15","",""
"409","E Pluribus Wiggum","Springfield becomes the site of the first presidential primary. The townspeople soon get sick of all of the presidential candidates sucking up to them, and decide to support their own write-in candidate: Ralph Wiggum.","2008-01-06","Mike Frank Polcino","Michael Price","19","10","410","8.2","",""
"410","That '90s Show","Homer and Marge tell the kids about their life in the early 1990s before they were born, when Marge was enrolled in Springfield College and Homer was the lead singer of a grunge rock band.","2008-01-27","Mark Kirkland","Matt Selman","19","11","411","7.6","",""
"411","Love, Springfieldian Style","A series of romantic Valentine's Day parodies based on ""Bonnie and Clyde,"" ""Lady and the Tramp,"" and ""Sid and Nancy.""","2008-02-17","Raymond S. Persi","Don Payne","19","12","412","7.81","",""
"412","The Debarted","The new prankster in Bart's fourth grade class actually turns out to be a mole brought in by Principal Skinner to infiltrate Bart's inner circle. Homer falls in love with his loaner car after Marge wrecks their old one.","2008-03-02","Matthew Nastuk","Joel H. Cohen","19","13","413","8.18","",""
"413","Dial 'N' for Nerder","One of Bart's pranks results in Martin's death, but Lisa doesn't want him to confess because she would be considered an accomplice. Marge hires a television crew to find out if Homer is cheating on his diet.","2008-03-09","Bob Anderson","Carolyn Omine & William Wright","19","14","414","7.3","",""
